State,Population,Rape Cases,Year,Kidnapping Cases,Rape_rate,Kidnap_rate,Rape_norm,Kidnap_norm
Mizoram,1097206,42,2019,5,3.8279046961099374,0.4557029400130878,4.009707184970372,0.09100987888920718
Mizoram,1097206,33,2020,3,3.007639404086379,0.2734217640078527,3.1025733826997555,0.030336626296402394
Mizoram,1097206,26,2021,2,2.3696552880680564,0.1822811760052351,2.3970248698226095,0.0
Mizoram,1097206,14,2022,9,1.2759682320366459,0.820265292023558,1.187513133461788,0.21235638407481675
Nagaland,1978502,10,2018,48,0.505432898222999,2.4260779114703954,0.3353758384387561,0.7468595994458505
Nagaland,1978502,8,2019,64,0.4043463185783992,3.2347705486271936,0.22358389229250408,1.0160372167920686
Nagaland,1978502,4,2020,24,0.2021731592891996,1.2130389557351977,0.0,0.34309317342652274
Nagaland,1978502,4,2021,48,0.2021731592891996,2.4260779114703954,0.0,0.7468595994458505
Nagaland,1978502,7,2022,28,0.3538030287560993,1.4152121150243973,0.1676879192193781,0.4103875777630773
Odisha,41974218,918,2018,5336,2.187056826168864,12.712565603961938,2.195088693024551,4.1707713808872455
Odisha,41974218,1382,2019,4748,3.292497313469902,11.31170567608907,3.417598583642321,3.704487751860583
Odisha,41974218,1211,2020,4179,2.8851043752619763,9.956111630239306,2.9670615334362034,3.253271110846687
Odisha,41974218,1456,2021,5625,3.468796011875671,13.401083493681766,3.6125678334391207,4.399948198555111
Odisha,41974218,1464,2022,5854,3.487855330622241,13.94665649280232,3.63364559017391,4.5815450540774
Punjab,27743338,831,2018,2100,2.9953136857576403,7.56938476545252,3.0889423344986517,2.458836462624521
Punjab,27743338,1002,2019,1798,3.611677873801631,6.48083514680173,3.770581305354593,2.096506970245649
Punjab,27743338,502,2020,1399,1.8094434058367455,5.042652041365751,1.777484899343068,1.617800124354357
Punjab,27743338,464,2021,1787,1.6724735862714142,6.441185988506502,1.6260095724861923,2.083309538404034
Punjab,27743338,517,2022,1654,1.8635104398756919,5.961791620027842,1.8372777915234138,1.9237405897736033
Rajasthan,68548437,4335,2018,5205,6.323995396131352,7.593170942759788,6.770141241538647,2.466753817425544
Rajasthan,68548437,5997,2019,8058,8.748558336931884,11.75519144222063,9.451472538523047,3.852104332461538
Rajasthan,68548437,5310,2020,6234,7.746347301835635,9.094299261703078,8.343124403126968,2.966412310230324
Rajasthan,68548437,6337,2021,7717,9.244557975844147,11.257732980840977,10.0,3.686522655059759
Rajasthan,68548437,5399,2022,8824,7.876182501433257,12.87264945224061,8.486709532748876,4.224056135657322
Sikkim,610577,16,2018,27,2.6204721108066633,4.422046686986244,2.6744039327877327,1.4112283529190357
Sikkim,610577,11,2019,51,1.801574576179581,8.35275485319624,1.7687827374501588,2.7195853355962276
Sikkim,610577,12,2020,32,1.9653540831049974,5.240944221613327,1.9499069765176735,1.6838027243101175
Sikkim,610577,8,2021,39,1.3102360554033317,6.387400770091241,1.2254100202476146,2.0654068442576317
